"candidate_code","scope","model","term","estimate","lower","upper","p","n"
"C-N14","overall","crude_hyponatremia_pr","exposurelow",0.628839734510584,0.315304657280704,1.25415024030963,0.191323326982456,1235
"C-N14","overall","crude_hyponatremia_rd","exposurelow",-0.0395995869803902,-0.093977655561657,0.0147784816008767,0.157107131058948,1235
"C-N14","overall","crude_serum_na_difference","exposurelow",0.373941241393471,-0.196163588086707,0.944046070873649,0.20203493754473,1235
"C-N14","overall","adjusted_hyponatremia_pr","exposurelow",0.426544376421703,0.169644501312154,1.07247864593147,0.0746522774891406,1235
"C-N14","overall","adjusted_hyponatremia_rd","exposurelow",-0.0813476302426009,-0.169394630695063,0.00669937020986112,0.0747128677563274,1235
"C-N14","overall","adjusted_serum_na_difference","exposurelow",0.408647633799446,-0.392991697841159,1.21028696544005,0.321376378508842,1235
"C-N14","overall","adjusted_strict_hyponatremia_pr","exposurelow",0.632617058577383,0.20871177460712,1.91749767619219,0.421238979578775,1235
"C-N14","discovery","crude_hyponatremia_pr","exposurelow",0.554112226628367,0.196891107999034,1.55944248990947,0.269492285230453,644
"C-N14","discovery","crude_hyponatremia_rd","exposurelow",-0.053990284406467,-0.138330449232887,0.030349880419953,0.216214428658118,644
"C-N14","discovery","crude_serum_na_difference","exposurelow",0.585994203101188,-0.129786843000617,1.30177524920299,0.115734621657085,644
"C-N14","discovery","adjusted_hyponatremia_pr","exposurelow",0.258306380946482,0.0832340006811439,0.80162176384229,0.0277689072625966,644
"C-N14","discovery","adjusted_hyponatremia_rd","exposurelow",-0.123439273581687,-0.251618042204942,0.00473949504156852,0.0712402730258685,644
"C-N14","discovery","adjusted_serum_na_difference","exposurelow",0.716858025682588,-0.327385755222316,1.76110180658749,0.191035524255864,644
"C-N14","discovery","adjusted_strict_hyponatremia_pr","exposurelow",0.155340039165482,0.039986124227365,0.603472535390651,0.0128130410625339,644
"C-N14","validation","crude_hyponatremia_pr","exposurelow",0.736782136943423,0.300010884521748,1.80942740855645,0.508824466164664,591
"C-N14","validation","crude_hyponatremia_rd","exposurelow",-0.0241048289624284,-0.0917013856342515,0.0434917277093948,0.488446491236161,591
"C-N14","validation","crude_serum_na_difference","exposurelow",0.145619483846172,-0.754117713781109,1.04535668147345,0.752648660591312,591
"C-N14","validation","adjusted_hyponatremia_pr","exposurelow",0.748328599631507,0.192407691385824,2.91046417631781,0.679563253402057,591
"C-N14","validation","adjusted_hyponatremia_rd","exposurelow",-0.028919603104289,-0.140938386281545,0.0830991800729671,0.617666671364909,591
"C-N14","validation","adjusted_serum_na_difference","exposurelow",-0.0174247187276559,-1.20044604483,1.16559660737469,0.977218239356345,591
"C-N14","validation","adjusted_strict_hyponatremia_pr","exposurelow",3.19385192869092,0.95909558301547,10.6357388388037,0.0711537887012003,591
